subgroup,feature,feature_type,dataset_mean_or_mode,candidate_mean_or_mode,dataset_median_or_frequency,candidate_median_or_frequency,difference,enrichment_ratio,standardized_difference,interpretation
perturbation_low_risk_high_score,annealing_energy,numeric,2743.2173892431156,3538.635137944419,1500.0,2100.0,795.4177487013035,1.2899579711838909,0.12681506143245852,near_dataset_baseline
perturbation_low_risk_high_score,annealing_time_bucket,categorical,short,medium,0.4184199985863393,0.7297297297297297,-0.4184199985863393,0.0,NA,mode_shifted
perturbation_low_risk_high_score,annealing_temperature_bucket,categorical,mid,high,0.5837711754588507,0.7567567567567568,-0.3675549592426345,0.37037836965188947,NA,mode_shifted
perturbation_low_risk_high_score,stack_depth_estimate,numeric,8.997445135671782,8.211592693184555,9.0,8.0,-0.7858524424872275,0.9126582679152339,-0.5050412554994654,depleted_vs_dataset
perturbation_low_risk_high_score,device_complexity_score,numeric,8.998431460414167,8.222335454539968,9.0,8.0,-0.7760960058741997,0.9137520789830544,-0.4974156719882171,depleted_vs_dataset
perturbation_low_risk_high_score,architecture_class,categorical,nip,nip,0.6903376292910491,0.7567567567567568,0.06641912746570766,1.0962125265196938,NA,same_mode
perturbation_low_risk_high_score,solvent_count,categorical,Unknown,Unknown,0.9895389110100605,1.0,0.010461088989939471,1.010571680278102,NA,same_mode
perturbation_low_risk_high_score,process_complexity_score,categorical,Unknown,Unknown,0.9895389110100605,1.0,0.010461088989939471,1.010571680278102,NA,same_mode
perturbation_low_risk_high_score,composition_complexity_score,numeric,2.832308697770042,4.542965727937151,2.0,4.397030486691746,1.7106570301671091,1.6039797256259385,1.194592205032534,enriched_above_dataset
recombination_low_risk_high_score,A_site_variance,missing,NA,NA,NA,NA,NA,NA,NA,missing_descriptor
recombination_low_risk_high_score,cation_entropy,numeric,0.1383015671316672,0.48019288667225907,0.0,0.4333988732907456,0.3418913195405919,3.472071189295355,1.3623638934882432,enriched_above_dataset
