k,features,cv_r2_mean,cv_r2_std,r2,mae,rmse
8,Add_lay_back | Cell_area_total | Encapsulation | Perovskite_band_gap | Perovskite_composition_c_ions_coefficients | Perovskite_composition_long_form | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_deposition_solvent_annealing,0.20212790804143635,0.014191821497466393,0.20275214506211103,3.7587253235599474,4.713348176043634
7,Cell_flexible | Outdoor_irradiance_measured | Perovskite_band_gap_graded | Perovskite_composition_c_ions_coefficients | Perovskite_composition_perovskite_ABC3_structure | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_3D_with_2D_capping_layer,0.20203060267847772,0.006586139434410248,0.2044569465814623,3.7710268799582964,4.708306065688162
6,Cell_area_total | Encapsulation | Perovskite_composition_b_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_deposition_quenching_induced_crystallisation,0.20199281013097434,0.012211135190118905,0.20422046081796863,3.7855896409808194,4.709005817018688
7,Cell_area_total | Cell_stack_sequence | Outdoor_periodic_JV_measurements | Perovskite_band_gap | Perovskite_composition_leadfree | Perovskite_deposition_solvents_mixing_ratios | Perovskite_dimension_3D_with_2D_capping_layer,0.20161802857160815,0.03193496465027914,0.224700882867092,3.708590016984465,4.648014640858026
8,Cell_number_of_cells_per_substrate | Cell_stack_sequence | Module | Outdoor_periodic_JV_measurements | Perovskite_composition_b_ions_coefficients | Perovskite_composition_leadfree | Perovskite_deposition_solvents_mixing_ratios | Perovskite_single_crystal,0.20160761535986352,0.01844375108062353,0.24095422954900203,3.6929161035466107,4.59903616793557
8,Cell_number_of_cells_per_substrate | Encapsulation | Module_JV_data_recalculated_per_cell | Perovskite_band_gap_graded | Perovskite_composition_a_ions_coefficients | Perovskite_composition_c_ions_coefficients | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_deposition_solvent_annealing,0.20156576161675263,0.0071125859528118045,0.21191920758378713,3.7501260283520006,4.6861718840821425
3,Cell_flexible | Perovskite_composition_c_ions_coefficients | Perovskite_deposition_quenching_induced_crystallisation,0.20155536775813554,0.007928208248110632,0.20622549461393436,3.76988117682284,4.703069706483208
7,Cell_flexible | Cell_semitransparent | Module_JV_data_recalculated_per_cell | Outdoor_periodic_JV_measurements | Perovskite_composition_a_ions_coefficients | Perovskite_composition_leadfree | Perovskite_single_crystal,0.2014868314516414,0.020357830690768276,0.21101540075473924,3.7863734810410157,4.688858271411925
7,Cell_flexible | Module | Perovskite_composition_a_ions_coefficients | Perovskite_composition_leadfree | Perovskite_deposition_solvent_annealing | Perovskite_dimension_3D | Perovskite_single_crystal,0.20146502769358668,0.023505051237930136,0.20545281484268396,3.805836664954752,4.705358191992728
8,Cell_number_of_cells_per_substrate | Cell_semitransparent | Outdoor_irradiance_measured | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_composition_perovskite_ABC3_structure | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_deposition_thermal_annealing_temperature,0.20143347989097757,0.004236571244292795,0.19363731636107773,3.794462811864779,4.74021514410548
5,Add_lay_back | Module | Perovskite_composition_c_ions_coefficients | Perovskite_composition_perovskite_inspired_structure | Perovskite_deposition_quenching_induced_crystallisation,0.2013924039173786,0.007659645330235592,0.20883203939966577,3.76002292618769,4.695341540660137
7,ETL_stack_sequence | Perovskite_composition_a_ions_coefficients | Perovskite_composition_leadfree | Perovskite_composition_perovskite_ABC3_structure | Perovskite_composition_perovskite_inspired_structure | Perovskite_dimension_3D | Perovskite_single_crystal,0.201226844739075,0.025111811607216608,0.20383732621373918,3.7932266756361384,4.710139275397397
5,Perovskite_composition_a_ions_coefficients | Perovskite_composition_perovskite_inspired_structure | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_0D | Perovskite_dimension_2D,0.20097586393902087,0.005235246579374592,0.21199833257671585,3.7833622175628316,4.6859366273493706
8,Cell_flexible | Cell_number_of_cells_per_substrate | Outdoor_periodic_JV_measurements | Outdoor_tested | Perovskite_composition_c_ions_coefficients | Perovskite_composition_perovskite_ABC3_structure | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_3D,0.20064214401944247,0.010332848671503508,0.21060899962684165,3.7555403147281243,4.690065717013421
